Product Details
Features:  Class I  Assembly required  Accommodates: 1 x E27 Max 40W (bulb not included) with 1 x LED Max 1W  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  65 cm H x 20 cm W x 27.5 cm D
Features:  Shade colour: White Organza  Wedge wood finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  164 cm H x 45 cm W x 45 cm D
Features:  Shade colour: White Organza  Wedge wood finish  Class I  Assembly required    Specifications:  Accommodates: 1 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  21.5 cm H x 15 cm W x 23 cm D
Features:  Shade colour: Black  Polished chrome finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E14 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  27.5 cm H x 15 cm W x 15 cm D
Features:  Shade colour: Black  Polished chrome finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP 20 Rating  Voltage: 230V - 50Hz    Dimensions:  50 cm - 80 cm H x 20 cm W x 20 cm D
Features:  Shade colour: Flower pattern  Brushed nickel finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  68.5 cm - 102.5 cm H x 45 cm W x 45 cm D
Features:  Shade colour: Silver  Polished chrome finish  Class I  Assembly required    Specifications:  Accommodates: 1 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  47 cm H x 15.5 cm W x 17.5 cm D
Features:  Shade colour: Transparent and Red  Polished chrome finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  50 cm - 100 cm H x 35 cm W x 35 cm D

Features:  Class I  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  12.5 cm H x 31.5 cm W x 16.5 cm D
Features:  Shade colour: Opal  Class I  Assembly required    Specifications:  Accommodates: 1 x E14 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  7.5 cm H x 16 cm W x 16 cm D
