"row_id","parent_row_id","out_parent_row_id","source_index","template_url","template_content_value","status","status_message","segment","Brand Name","Sales Price","Sales Price(Not Matched)","Regular Price","RRP","RRP(Not Matched)","Wayfair SKU ID","Short Description","Dimensions","Dimensions(Not Matched)","HEIGHT","WIDTH","LENGTH","MIN HEIGHT","MAX HEIGHT","MIN WIDTH","MAX WIDTH","Weight","Weight(Not Matched)","Additional Features","Additional Features(Not Matched)","CATEGORIES","Other Features","IP RATING","Features","STYLE","Shape","Suggested Rooms","Special Features","Type","Light Bulb","LAMP2 QTY","APPEARANCES","LAMP2 CAP","Details","Ideal Fit","Application","Product Details","Product Details(Not Matched)","SAFETY CLASSIFICATION","ADDITIONAL KEYWORDS","OPERATING VOLTAGE","LAMP1 QTY","LAMP1 CAP","LAMP1 MAX WATTAGE","CE (EU DIRECTIVE) COMPATIBLE?","DESIGNER","COMPLETE WITH LAMP","Star Rating","Rating count","Specifications","Shipping","Lead Time","Stock","Questions","Reviews","Related searches","Brand Item Codes","Image Alerts","Url"
"6AC7D5EC-603D-4D96-AC03-006F427E5186","269E00BE-5EF8-43E1-90AC-677F1F26D68E","269E00BE-5EF8-43E1-90AC-677F1F26D68E","23","http://www.wayfair.co.uk/Artinox-DI12-3-Light-Kitchen-Island-Pendant-RG-0069-3-CR-ANOX1070.html","Artinox DI12 3 Light Kitchen Island Pendant","2","NULL","0","Artinox","91. 64","","","99.00","","ANOX1070","DI12 3 Light Kitchen Island Pendant","","","80","70","13","50","80","","","","","","","","","20","","","","","","","","","270, 210, 60, 240, ","","","","","","","Class II","Assembly required","230V - 50Hz","3","E14","40W","","","","0","Write the first review","We're sorry, we have no additional specifications for this product.","Free Delivery!","","","","","","RG-0069/3 CR","","http://www.wayfair.co.uk/Artinox-DI12-3-Light-Kitchen-Island-Pendant-RG-0069-3-CR-ANOX1070.html"
"C1042374-DE67-41B7-961B-0C465F01134B","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","11","http://www.wayfair.co.uk/Anglepoise-Type1228-Table-Lamp-30422-AOP1001.html","More Options ? Anglepoise Type1228 Table Lamp","2","NULL","0","Anglepoise","138. 00","","","159.00","","AOP1001","Type1228 Table Lamp","","","","","","","","","","","","","","20481, 545, 20481, 545","","","","","","","","","","","","","","","","","","","","","","","","","","","5","(11 reviews)","We're sorry, we have no additional specifications for this product.","Free Delivery!","","","","","table lamp shade  light square table lamp  blue aluminium lighting  brushed steel table lamp  polycarbonate base table lamp  purple bulb table lamp","30422","","http://www.wayfair.co.uk/Anglepoise-Type1228-Table-Lamp-30422-AOP1001.html"
"06B60225-D866-46A4-8F10-11FB9D7B70B5","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","15","http://www.wayfair.co.uk/Anglepoise-Duo-1-Light-Mini-Pendant-AOP1077-AOP1077.html","More Options ? Anglepoise Duo 1 Light Mini Pendant","2","NULL","0","Anglepoise","83. 05","","","99.60","","AOP1077","Duo 1 Light Mini Pendant","","120 - 161.5cm H x 29cm W","","","","","","","","2","","","","536, 20345, 536, 20345","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Write the first review","We're sorry, we have no additional specifications for this product.","Free Delivery!","","","","","mini pendant light shades  1 light mini pendant  chrome mini pendant lights  chrome suspension pendant","AOP1077","","http://www.wayfair.co.uk/Anglepoise-Duo-1-Light-Mini-Pendant-AOP1077-AOP1077.html"
"3B7005A4-FA75-412C-9E00-3E64EB896B20","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","16","http://www.wayfair.co.uk/Anglepoise-Giant1227%E2%84%A2-Floor-Lamp-1227-AOP1025.html","More Options: Colour ? Anglepoise Giant1227? Floor Lamp","2","NULL","0","Anglepoise","1,949. 67","","","2,280.00","","AOP1025","Giant1227? Floor Lamp","","","270","44.5","44.5","","","","","25","","","","689, 20472, 689, 20472","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Write the first review","We're sorry, we have no additional specifications for this product.","Free Delivery!","","","","","anglepoise type1228 floor lamp  3 light floor lamp  light table lamp  aluminum dimmer floor lamp  anglepoise shade lamp  black dimmer lamp","1227","","http://www.wayfair.co.uk/Anglepoise-Giant1227%E2%84%A2-Floor-Lamp-1227-AOP1025.html"
"3D3ED089-DBE0-4351-ACBE-534DE51A4842","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","3","http://www.wayfair.co.uk/Anglepoise-Type75-Table-Lamp-30304-AOP1047.html","Anglepoise Type75 Table Lamp","2","NULL","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","energy saving table lamp  reading lamps  aluminum halogen lamp  height adjustable floor lamp  red base lighting","","","http://www.wayfair.co.uk/Anglepoise-C230083.html?redir_sku=AOP1047"
"63D3A507-6F69-46D5-BF9D-5496432A31C0","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","17","http://www.wayfair.co.uk/Anglepoise-Giant1227-1-Light-Mini-Pendant-1227-AOP1052.html","More Options ? Anglepoise Giant1227 1 Light Mini Pendant","2","NULL","0","Anglepoise","234. 00","","","260.00","","AOP1052","Giant1227 1 Light Mini Pendant","","","","","","","","","","","","","","536, 20345, 536, 20345","Quick Shipping, EcoFriendly, British Made","","","","","","","","","","","","","","","","","","","","","","","","","","0","Write the first review","We're sorry, we have no additional specifications for this product.","Free Delivery!","","","","","floor lamp reading light  1 light mini pendant  mini pendant ceiling lights","1227","","http://www.wayfair.co.uk/Anglepoise-Giant1227-1-Light-Mini-Pendant-1227-AOP1052.html"
"AFB125E7-F604-4ACE-8AA5-5AE5EAC6B8C8","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","13","http://www.wayfair.co.uk/Anglepoise-Duo-1-Light-Mini-Pendant-AOP1072-AOP1072.html","More Options ? Anglepoise Duo 1 Light Mini Pendant","2","NULL","0","Anglepoise","61. 35","","","94.80","","AOP1072","Duo 1 Light Mini Pendant","","","","","","","","29","","","1 - 2 lbs","","","536, 20345, 536, 20345","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Write the first review","We're sorry, we have no additional specifications for this product.","Free Delivery!","","","","","aluminum pendant lighting  aluminum shade pendant  black aluminum fixture  ceiling mini pendant  chrome shade ceiling pendant  rose shade pendant","AOP1072","","http://www.wayfair.co.uk/Anglepoise-Duo-1-Light-Mini-Pendant-AOP1072-AOP1072.html"
"E0C0B871-BE61-4667-9024-5DBBC3AC2498","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","0","http://www.wayfair.co.uk/Anglepoise-Type75-Table-Lamp-30304-AOP1006.html","Anglepoise Type75 Table Lamp","2","NULL","0","Anglepoise","113. 40","","","","","AOP1006","Type75 Table Lamp","","","","","","","","","","","","","","20481, 545, 20481, 545","","","","","","","","","","","","","","","","","","","","","","","","","","","4_5","(20 reviews)","We're sorry, we have no additional specifications for this product.","Free Delivery!","","","","","anglepoise table lamp  mini table lamp  bulb table lamp  chrome clamp lighting  metal clamp lamp  metal shade standing lighting","30304","","http://www.wayfair.co.uk/Anglepoise-Type75-Table-Lamp-30304-AOP1006.html"
"94A09CB8-BED8-4D08-A8AF-6D91D309D3B9","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","7","http://www.wayfair.co.uk/Anglepoise-Type75-Floor-Lamp-30507-AOP1056.html","More Options: Colour ? Anglepoise Type75 Floor Lamp","2","NULL","0","Anglepoise","153. 00","","","170.00","","AOP1056","Type75 Floor Lamp","","","91","25","25","","","","","","","","","689, 20472, 689, 20472","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Write the first review","We're sorry, we have no additional specifications for this product.","Free Delivery!","","","","","modern floor lighting  modern lighting floor lamps  lighting floor lamps  alta floor lamp  standing floor lamps  bulb floor lamp","30507","","http://www.wayfair.co.uk/Anglepoise-Type75-Floor-Lamp-30507-AOP1056.html"
"BC2E28FB-B612-4C80-9664-71F17666CE9D","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","45F1A8EB-2FC9-4269-A303-32B5A40F28F3","9","http://www.wayfair.co.uk/Anglepoise-TypeC%E2%84%A2-LED-Table-Lamp-30422-AOP1054.html","Anglepoise TypeC? LED Table Lamp","2","NULL","0","Anglepoise","264. 00","","","295.00","","AOP1054","TypeC? LED Table Lamp","","","","","","","","","","","","","","20481, 545, 20481, 545","","","","","","","","","","","","","","","","","","","","","","","","","","","5","(4 reviews)","We're sorry, we have no additional specifications for this product.","Free Delivery!","","","","","multiple shade table lamp  anglepoise table lamp  light table lamp  anglepoise aluminium lamp  beautiful bulb table lamp  led desk lamp lighting","30422","","http://www.wayfair.co.uk/Anglepoise-TypeC%E2%84%A2-LED-Table-Lamp-30422-AOP1054.html"
